Salary,PlayerType,Value,Optimal,Cash
3500,Scrub,12.25,31.27,25.016
4000,Scrub,14.43,33.45,26.76
4500,Scrub,16.61,35.63,28.504
5000,Scrub,18.79,37.81,30.248
5500,Scrub,20.97,39.99,31.992
6000,Mid-Level,23.16,40.75,32.6
6500,Mid-Level,25.34,42.93,34.344
7000,Mid-Level,27.52,45.11,36.088
7500,Mid-Level,29.7,47.29,37.832
8000,Mid-Level,31.88,49.47,39.576
8500,Mid-Level,34.06,51.65,41.32
9000,Star,36.24,50.81,40.648
9500,Star,38.42,52.99,42.392
10000,Star,40.6,55.17,44.136
10500,Star,42.79,57.36,45.888
11000,Star,44.97,59.54,47.632