SeasonDay,Date,PlayerType,Points,Salary,Cnt,Week,Order
1,10/27/15,Mid-Level,72.9,13200,2,10/26/15,2
1,10/27/15,Scrub,143.3,26600,5,10/26/15,1
1,10/27/15,Star,109,19400,2,10/26/15,3
2,10/28/15,Mid-Level,241.8,36700,5,10/26/15,2
2,10/28/15,Scrub,112.3,13200,3,10/26/15,1
2,10/28/15,Star,46.6,9900,1,10/26/15,3
3,10/29/15,Mid-Level,150.6,28400,4,10/26/15,2
3,10/29/15,Scrub,70,12000,3,10/26/15,1
3,10/29/15,Star,84.9,19300,2,10/26/15,3
4,10/30/15,Mid-Level,159.7,21100,3,10/26/15,2
4,10/30/15,Scrub,130.2,17700,4,10/26/15,1
4,10/30/15,Star,135.6,20800,2,10/26/15,3
5,10/31/15,Mid-Level,108.7,14800,2,10/26/15,2
5,10/31/15,Scrub,163.8,24100,5,10/26/15,1
5,10/31/15,Star,135.1,20400,2,10/26/15,3
6,11/1/15,Mid-Level,250.6,45500,6,11/2/15,2
6,11/1/15,Scrub,121.2,14000,3,11/2/15,1
7,11/2/15,Mid-Level,82.8,14100,2,11/2/15,2
7,11/2/15,Scrub,122.8,15900,4,11/2/15,1
7,11/2/15,Star,164.7,29900,3,11/2/15,3
8,11/3/15,Mid-Level,218.1,36300,5,11/2/15,2
8,11/3/15,Scrub,123.9,13400,3,11/2/15,1
8,11/3/15,Star,63.8,8900,1,11/2/15,3
9,11/4/15,Mid-Level,131.2,23200,3,11/2/15,2
9,11/4/15,Scrub,141.3,17100,4,11/2/15,1
9,11/4/15,Star,98.3,19400,2,11/2/15,3
10,11/5/15,Mid-Level,156.1,27700,4,11/2/15,2
10,11/5/15,Scrub,90.4,12800,3,11/2/15,1
10,11/5/15,Star,86.4,18900,2,11/2/15,3
11,11/6/15,Mid-Level,103.3,14600,2,11/2/15,2
11,11/6/15,Scrub,199.9,24300,5,11/2/15,1
11,11/6/15,Star,139.2,20400,2,11/2/15,3
12,11/7/15,Mid-Level,185.9,26800,4,11/2/15,2
12,11/7/15,Scrub,119.2,11900,3,11/2/15,1
12,11/7/15,Star,103.5,19800,2,11/2/15,3
13,11/8/15,Mid-Level,152.2,23700,3,11/9/15,2
13,11/8/15,Scrub,106.9,16800,4,11/9/15,1
13,11/8/15,Star,125.6,19300,2,11/9/15,3
14,11/9/15,Mid-Level,204.4,36000,5,11/9/15,2
14,11/9/15,Scrub,116.2,15100,3,11/9/15,1
14,11/9/15,Star,45.1,8900,1,11/9/15,3
15,11/10/15,Mid-Level,122.8,22200,3,11/9/15,2
15,11/10/15,Scrub,193,27600,5,11/9/15,1
15,11/10/15,Star,50.4,10000,1,11/9/15,3
16,11/11/15,Mid-Level,190.5,29300,4,11/9/15,2
16,11/11/15,Scrub,157.4,19500,4,11/9/15,1
16,11/11/15,Star,49.5,10700,1,11/9/15,3
17,11/12/15,Mid-Level,249.6,37200,5,11/9/15,2
17,11/12/15,Scrub,62.8,12000,3,11/9/15,1
17,11/12/15,Star,59,10700,1,11/9/15,3
18,11/13/15,Mid-Level,143.7,19900,3,11/9/15,2
18,11/13/15,Scrub,149.1,18300,4,11/9/15,1
18,11/13/15,Star,109,21200,2,11/9/15,3
19,11/14/15,Mid-Level,136.3,21100,3,11/9/15,2
19,11/14/15,Scrub,177.4,19000,4,11/9/15,1
19,11/14/15,Star,121,19900,2,11/9/15,3
20,11/15/15,Mid-Level,86.1,14100,2,11/16/15,2
20,11/15/15,Scrub,171.8,24700,5,11/16/15,1
20,11/15/15,Star,114.2,21200,2,11/16/15,3
21,11/16/15,Mid-Level,216.1,35700,5,11/16/15,2
21,11/16/15,Scrub,96.5,12800,3,11/16/15,1
21,11/16/15,Star,63.8,11400,1,11/16/15,3
22,11/17/15,Mid-Level,272.8,43600,6,11/16/15,2
22,11/17/15,Scrub,111.1,16300,3,11/16/15,1
23,11/18/15,Mid-Level,103.1,14800,2,11/16/15,2
23,11/18/15,Scrub,202.5,25600,5,11/16/15,1
23,11/18/15,Star,135.2,19100,2,11/16/15,3
24,11/19/15,Mid-Level,224.5,36900,5,11/16/15,2
24,11/19/15,Scrub,71.1,13500,3,11/16/15,1
24,11/19/15,Star,54.8,8900,1,11/16/15,3
25,11/20/15,Mid-Level,167.5,22400,3,11/16/15,2
25,11/20/15,Scrub,170.3,25900,5,11/16/15,1
25,11/20/15,Star,59.9,11700,1,11/16/15,3
26,11/21/15,Mid-Level,135.3,19700,3,11/16/15,2
26,11/21/15,Scrub,145.9,19500,4,11/16/15,1
26,11/21/15,Star,99.6,20400,2,11/16/15,3
27,11/22/15,Mid-Level,86.9,15800,2,11/23/15,2
27,11/22/15,Scrub,180.5,24300,5,11/23/15,1
27,11/22/15,Star,126,19800,2,11/23/15,3
28,11/23/15,Mid-Level,310.1,45600,6,11/23/15,2
28,11/23/15,Scrub,102.4,14000,3,11/23/15,1
29,11/24/15,Mid-Level,116.5,20500,3,11/23/15,2
29,11/24/15,Scrub,101.1,11800,3,11/23/15,1
29,11/24/15,Star,140.9,27500,3,11/23/15,3
30,11/25/15,Mid-Level,104.8,15500,2,11/23/15,2
30,11/25/15,Scrub,139.4,16300,4,11/23/15,1
30,11/25/15,Star,167,28200,3,11/23/15,3
31,11/27/15,Mid-Level,80.8,14000,2,11/23/15,2
31,11/27/15,Scrub,206.8,24700,5,11/23/15,1
31,11/27/15,Star,122,21300,2,11/23/15,3
32,11/28/15,Mid-Level,116.8,19600,3,11/23/15,2
32,11/28/15,Scrub,141.2,18200,4,11/23/15,1
32,11/28/15,Star,103,21200,2,11/23/15,3
33,11/29/15,Mid-Level,124.7,21900,3,11/30/15,2
33,11/29/15,Scrub,163.7,17900,4,11/30/15,1
33,11/29/15,Star,98.5,19800,2,11/30/15,3
34,11/30/15,Mid-Level,234.6,36000,5,11/30/15,2
34,11/30/15,Scrub,109.9,14600,3,11/30/15,1
34,11/30/15,Star,53.7,8600,1,11/30/15,3
35,12/1/15,Mid-Level,254.4,35600,5,11/30/15,2
35,12/1/15,Scrub,89.4,12600,3,11/30/15,1
35,12/1/15,Star,57.8,10800,1,11/30/15,3
36,12/2/15,Mid-Level,214.7,29800,4,11/30/15,2
36,12/2/15,Scrub,154.9,19900,4,11/30/15,1
36,12/2/15,Star,57,10000,1,11/30/15,3
37,12/3/15,Mid-Level,211.8,38300,5,11/30/15,2
37,12/3/15,Scrub,104.2,12600,3,11/30/15,1
37,12/3/15,Star,46.1,9100,1,11/30/15,3
38,12/4/15,Mid-Level,54.3,7100,1,11/30/15,2
38,12/4/15,Scrub,137.7,22300,5,11/30/15,1
38,12/4/15,Star,166.4,30500,3,11/30/15,3
39,12/5/15,Mid-Level,192.3,29600,4,11/30/15,2
39,12/5/15,Scrub,113.1,11500,3,11/30/15,1
39,12/5/15,Star,130.2,18500,2,11/30/15,3
40,12/6/15,Mid-Level,120,21700,3,12/7/15,2
40,12/6/15,Scrub,149.6,18600,4,12/7/15,1
40,12/6/15,Star,106,19700,2,12/7/15,3
41,12/7/15,Mid-Level,173.7,29900,4,12/7/15,2
41,12/7/15,Scrub,145.6,20100,4,12/7/15,1
41,12/7/15,Star,42.4,9300,1,12/7/15,3
42,12/8/15,Mid-Level,97.3,12900,2,12/7/15,2
42,12/8/15,Scrub,145.7,16200,4,12/7/15,1
42,12/8/15,Star,157.1,30400,3,12/7/15,3
43,12/9/15,Mid-Level,129.1,22300,3,12/7/15,2
43,12/9/15,Scrub,151.6,17000,4,12/7/15,1
43,12/9/15,Star,123.1,20000,2,12/7/15,3
44,12/10/15,Mid-Level,169.6,30900,4,12/7/15,2
44,12/10/15,Scrub,113.5,17500,4,12/7/15,1
44,12/10/15,Star,51.4,10300,1,12/7/15,3
45,12/11/15,Mid-Level,106.9,15200,2,12/7/15,2
45,12/11/15,Scrub,210.6,25100,5,12/7/15,1
45,12/11/15,Star,107.5,19600,2,12/7/15,3
46,12/12/15,Mid-Level,185,30300,4,12/7/15,2
46,12/12/15,Scrub,162.7,20100,4,12/7/15,1
46,12/12/15,Star,59,9500,1,12/7/15,3
47,12/13/15,Mid-Level,155.4,27700,4,12/14/15,2
47,12/13/15,Scrub,98.5,12500,3,12/14/15,1
47,12/13/15,Star,105.2,19500,2,12/14/15,3
48,12/14/15,Mid-Level,156,22700,3,12/14/15,2
48,12/14/15,Scrub,144.1,18600,4,12/14/15,1
48,12/14/15,Star,96,18100,2,12/14/15,3
49,12/15/15,Mid-Level,158.4,28300,4,12/14/15,2
49,12/15/15,Scrub,143.7,20800,4,12/14/15,1
49,12/15/15,Star,45.4,10700,1,12/14/15,3
50,12/16/15,Mid-Level,288.1,43600,6,12/14/15,2
50,12/16/15,Scrub,76.5,7500,2,12/14/15,1
50,12/16/15,Star,54.2,8800,1,12/14/15,3
51,12/17/15,Mid-Level,166.4,28600,4,12/14/15,2
51,12/17/15,Scrub,161.5,19000,4,12/14/15,1
51,12/17/15,Star,57.3,10300,1,12/14/15,3
52,12/18/15,Mid-Level,332.1,43400,6,12/14/15,2
52,12/18/15,Scrub,59.6,7600,2,12/14/15,1
52,12/18/15,Star,70.7,9000,1,12/14/15,3
53,12/19/15,Mid-Level,92.2,13700,2,12/14/15,2
53,12/19/15,Scrub,134.8,16400,4,12/14/15,1
53,12/19/15,Star,127.9,29700,3,12/14/15,3
54,12/20/15,Mid-Level,254.5,42700,6,12/21/15,2
54,12/20/15,Scrub,127.2,15300,3,12/21/15,1
55,12/21/15,Mid-Level,93.8,13600,2,12/21/15,2
55,12/21/15,Scrub,126.4,17200,4,12/21/15,1
55,12/21/15,Star,156.8,29000,3,12/21/15,3
56,12/22/15,Mid-Level,186.6,34300,5,12/21/15,2
56,12/22/15,Scrub,91.9,15100,3,12/21/15,1
56,12/22/15,Star,39.5,8700,1,12/21/15,3
57,12/23/15,Mid-Level,184.7,26100,4,12/21/15,2
57,12/23/15,Scrub,132,11700,3,12/21/15,1
57,12/23/15,Star,98.3,20000,2,12/21/15,3
58,12/25/15,Mid-Level,49,7200,1,12/21/15,2
58,12/25/15,Scrub,124.8,23200,5,12/21/15,1
58,12/25/15,Star,164.7,29300,3,12/21/15,3
59,12/26/15,Mid-Level,221.2,37000,5,12/21/15,2
59,12/26/15,Scrub,114.3,13600,3,12/21/15,1
59,12/26/15,Star,55.9,9400,1,12/21/15,3
60,12/27/15,Mid-Level,184.2,27100,4,12/28/15,2
60,12/27/15,Scrub,99,11900,3,12/28/15,1
60,12/27/15,Star,103.8,20400,2,12/28/15,3
61,12/28/15,Mid-Level,234.3,39000,5,12/28/15,2
61,12/28/15,Scrub,112,12200,3,12/28/15,1
61,12/28/15,Star,51.7,8700,1,12/28/15,3
62,12/29/15,Mid-Level,280.4,41100,6,12/28/15,2
62,12/29/15,Scrub,71.6,10300,2,12/28/15,1
62,12/29/15,Star,39.2,8600,1,12/28/15,3
63,12/30/15,Mid-Level,196.5,29200,4,12/28/15,2
63,12/30/15,Scrub,152.9,20300,4,12/28/15,1
63,12/30/15,Star,53.9,10000,1,12/28/15,3
64,12/31/15,Mid-Level,183.9,27800,4,12/28/15,2
64,12/31/15,Scrub,118,12000,3,12/28/15,1
64,12/31/15,Star,118.4,19900,2,12/28/15,3
65,1/1/16,Mid-Level,178.2,28100,4,12/28/15,2
65,1/1/16,Scrub,145.8,21100,4,12/28/15,1
65,1/1/16,Star,46.9,10200,1,12/28/15,3
66,1/2/16,Mid-Level,46.1,7200,1,12/28/15,2
66,1/2/16,Scrub,148.5,16300,4,12/28/15,1
66,1/2/16,Star,224.5,36500,4,12/28/15,3
67,1/3/16,Mid-Level,98.8,15000,2,1/4/16,2
67,1/3/16,Scrub,154.4,19000,4,1/4/16,1
67,1/3/16,Star,127.9,26000,3,1/4/16,3
68,1/4/16,Mid-Level,202.2,28700,4,1/4/16,2
68,1/4/16,Scrub,155.8,21200,4,1/4/16,1
68,1/4/16,Star,60.3,9700,1,1/4/16,3
69,1/5/16,Mid-Level,84.9,13500,2,1/4/16,2
69,1/5/16,Scrub,153.8,18800,4,1/4/16,1
69,1/5/16,Star,165.8,27000,3,1/4/16,3
70,1/6/16,Scrub,193.8,20300,5,1/4/16,1
70,1/6/16,Star,217.1,38800,4,1/4/16,3
71,1/7/16,Mid-Level,122.3,21800,3,1/4/16,2
71,1/7/16,Scrub,137.8,18400,4,1/4/16,1
71,1/7/16,Star,92.7,18800,2,1/4/16,3
72,1/8/16,Mid-Level,133.8,20300,3,1/4/16,2
72,1/8/16,Scrub,161.4,20200,4,1/4/16,1
72,1/8/16,Star,120.5,19500,2,1/4/16,3
73,1/9/16,Mid-Level,196.4,29300,4,1/4/16,2
73,1/9/16,Scrub,147.5,17800,4,1/4/16,1
73,1/9/16,Star,61.7,10500,1,1/4/16,3
74,1/10/16,Mid-Level,139,21600,3,1/11/16,2
74,1/10/16,Scrub,142.1,17600,4,1/11/16,1
74,1/10/16,Star,121.2,20500,2,1/11/16,3
75,1/11/16,Mid-Level,88.1,14100,2,1/11/16,2
75,1/11/16,Scrub,103.9,17500,4,1/11/16,1
75,1/11/16,Star,127.7,28400,3,1/11/16,3
76,1/12/16,Mid-Level,187.6,27600,4,1/11/16,2
76,1/12/16,Scrub,105.6,13200,3,1/11/16,1
76,1/12/16,Star,96.1,18900,2,1/11/16,3
77,1/13/16,Mid-Level,121.4,20800,3,1/11/16,2
77,1/13/16,Scrub,173.5,18600,4,1/11/16,1
77,1/13/16,Star,106.7,20300,2,1/11/16,3
78,1/14/16,Mid-Level,85.7,13700,2,1/11/16,2
78,1/14/16,Scrub,149.6,17400,4,1/11/16,1
78,1/14/16,Star,180,28500,3,1/11/16,3
79,1/15/16,Mid-Level,247.6,36300,5,1/11/16,2
79,1/15/16,Scrub,114.6,14000,3,1/11/16,1
79,1/15/16,Star,53.6,9200,1,1/11/16,3
80,1/16/16,Mid-Level,131.4,21300,3,1/11/16,2
80,1/16/16,Scrub,132.1,17900,4,1/11/16,1
80,1/16/16,Star,129.8,20500,2,1/11/16,3
81,1/17/16,Mid-Level,133.3,26900,4,1/18/16,2
81,1/17/16,Scrub,98.5,12600,3,1/18/16,1
81,1/17/16,Star,92,20300,2,1/18/16,3
82,1/18/16,Mid-Level,206.5,23900,3,1/18/16,2
82,1/18/16,Scrub,142.4,17100,4,1/18/16,1
82,1/18/16,Star,120.1,18000,2,1/18/16,3
83,1/19/16,Mid-Level,167.4,27300,4,1/18/16,2
83,1/19/16,Scrub,81.9,11700,3,1/18/16,1
83,1/19/16,Star,110.4,20400,2,1/18/16,3
84,1/20/16,Mid-Level,62.9,7200,1,1/18/16,2
84,1/20/16,Scrub,200.6,24000,5,1/18/16,1
84,1/20/16,Star,173.4,28500,3,1/18/16,3
85,1/21/16,Mid-Level,79,14000,2,1/18/16,2
85,1/21/16,Scrub,127.3,17400,4,1/18/16,1
85,1/21/16,Star,145.4,28300,3,1/18/16,3
86,1/22/16,Mid-Level,117.3,15900,2,1/18/16,2
86,1/22/16,Scrub,199.9,23600,5,1/18/16,1
86,1/22/16,Star,118.3,20000,2,1/18/16,3
87,1/23/16,Mid-Level,136.4,21900,3,1/18/16,2
87,1/23/16,Scrub,156.6,17200,4,1/18/16,1
87,1/23/16,Star,107,19900,2,1/18/16,3
88,1/24/16,Mid-Level,135,20400,3,1/25/16,2
88,1/24/16,Scrub,137.7,18300,4,1/25/16,1
88,1/24/16,Star,107.7,20500,2,1/25/16,3
89,1/25/16,Mid-Level,54.7,6500,1,1/25/16,2
89,1/25/16,Scrub,206.3,22700,5,1/25/16,1
89,1/25/16,Star,182,29800,3,1/25/16,3
90,1/26/16,Mid-Level,50.8,6800,1,1/25/16,2
90,1/26/16,Scrub,192.5,22800,5,1/25/16,1
90,1/26/16,Star,173.6,29400,3,1/25/16,3
91,1/27/16,Mid-Level,236.2,36100,5,1/25/16,2
91,1/27/16,Scrub,99.1,13400,3,1/25/16,1
91,1/27/16,Star,52.1,10500,1,1/25/16,3
92,1/28/16,Mid-Level,91,13100,2,1/25/16,2
92,1/28/16,Scrub,148.4,19900,4,1/25/16,1
92,1/28/16,Star,153.1,26200,3,1/25/16,3
93,1/29/16,Mid-Level,47.3,7500,1,1/25/16,2
93,1/29/16,Scrub,181.9,22700,5,1/25/16,1
93,1/29/16,Star,158.9,29800,3,1/25/16,3
94,1/30/16,Mid-Level,180.7,27000,4,1/25/16,2
94,1/30/16,Scrub,115.6,12900,3,1/25/16,1
94,1/30/16,Star,122.4,20000,2,1/25/16,3
95,1/31/16,Mid-Level,95.3,14300,2,2/1/16,2
95,1/31/16,Scrub,198,25200,5,2/1/16,1
95,1/31/16,Star,91,17800,2,2/1/16,3
96,2/1/16,Mid-Level,192,28500,4,2/1/16,2
96,2/1/16,Scrub,174.9,22400,4,2/1/16,1
96,2/1/16,Star,40.4,9000,1,2/1/16,3
97,2/2/16,Mid-Level,71.5,13600,2,2/1/16,2
97,2/2/16,Scrub,219.7,25500,5,2/1/16,1
97,2/2/16,Star,93.4,19900,2,2/1/16,3
98,2/3/16,Mid-Level,106.1,13000,2,2/1/16,2
98,2/3/16,Scrub,127.4,14600,4,2/1/16,1
98,2/3/16,Star,187.7,32100,3,2/1/16,3
99,2/4/16,Mid-Level,47.4,6300,1,2/1/16,2
99,2/4/16,Scrub,146.1,16300,4,2/1/16,1
99,2/4/16,Star,199.1,36300,4,2/1/16,3
100,2/5/16,Mid-Level,229.5,35300,5,2/1/16,2
100,2/5/16,Scrub,123.2,14300,3,2/1/16,1
100,2/5/16,Star,51.6,9900,1,2/1/16,3
101,2/6/16,Mid-Level,93.1,12100,2,2/1/16,2
101,2/6/16,Scrub,198.6,25700,5,2/1/16,1
101,2/6/16,Star,116.9,21700,2,2/1/16,3
102,2/7/16,Mid-Level,137.4,22600,3,2/8/16,2
102,2/7/16,Scrub,180.6,26200,5,2/8/16,1
102,2/7/16,Star,43.4,11100,1,2/8/16,3
103,2/8/16,Mid-Level,340.8,49700,7,2/8/16,2
103,2/8/16,Scrub,65.9,10100,2,2/8/16,1
104,2/9/16,Mid-Level,120.2,21900,3,2/8/16,2
104,2/9/16,Scrub,156,18700,4,2/8/16,1
104,2/9/16,Star,112.1,19100,2,2/8/16,3
105,2/10/16,Mid-Level,110.7,16200,2,2/8/16,2
105,2/10/16,Scrub,203.8,23500,5,2/8/16,1
105,2/10/16,Star,123.8,20200,2,2/8/16,3
106,2/11/16,Mid-Level,165.7,28300,4,2/8/16,2
106,2/11/16,Scrub,122.4,20600,4,2/8/16,1
106,2/11/16,Star,46.8,11000,1,2/8/16,3